,position,r2,rmse
32,"(1, 3, 1)",-0.10123366721927884,0.25154879948459147
33,"(1, 3, 2)",-0.05795568113551042,0.24655638077320158
34,"(1, 3, 3)",-0.30637599692294737,0.2739785765248872
35,"(1, 3, 4)",-0.09909714634918187,0.2513046641104506
36,"(1, 3, 5)",-0.08114420929870314,0.24924377600114964
37,"(1, 3, 6)",-0.04753532261704674,0.24533914472046375
38,"(1, 3, 7)",-0.047502804840612756,0.24533533676038832
39,"(1, 3, 8)",-0.1453144244266802,0.2565339652149698
40,"(1, 3, 9)",-0.11780051355067678,0.25343387340395973
41,"(1, 3, 10)",-0.3013656417848949,0.2734526755925666
42,"(1, 3, 11)",-0.21029692735657268,0.26371113881425257
43,"(1, 3, 12)",-0.03956067508415151,0.2444035051347641
44,"(1, 3, 13)",-0.10333041839738333,0.2517881603199165
45,"(1, 3, 14)",-0.059999814667928586,0.2467944583036907
46,"(1, 3, 15)",-0.11858395403496558,0.2535226708130047
47,"(1, 3, 16)",-0.28041513714509003,0.2712426062885812
48,"(1, 4, 1)",-0.2525959500914332,0.2682798225753606
49,"(1, 4, 2)",-0.05044519208293896,0.24567966297428825
50,"(1, 4, 3)",-0.02943774747742256,0.24321063034079907
51,"(1, 4, 4)",-0.3322578830263154,0.2766792935908994
52,"(1, 4, 5)",-0.21249771214410895,0.263950793999078
53,"(1, 4, 6)",-0.39774249491725744,0.283397551274766
54,"(1, 4, 7)",-0.1835187403670402,0.2607774765006673
55,"(1, 4, 8)",-0.10655783915107464,0.2521561520484907
56,"(1, 4, 9)",-0.3292165205851876,0.27636330266357373
57,"(1, 4, 10)",-0.20124615722086636,0.26272325402585167
58,"(1, 4, 11)",-0.07554891814871456,0.24859797845705797
59,"(1, 4, 12)",-0.17336167827154503,0.25965605764870825
60,"(1, 4, 13)",0.39723401221059884,0.18610450153920552
61,"(1, 4, 14)",-0.23991197852181645,0.2669180458646716
62,"(1, 4, 15)",-0.12050521150721072,0.2537403001436556
63,"(1, 4, 16)",-0.09623171881820736,0.2509768654013838
64,"(1, 5, 1)",0.4254220392623874,0.1817008632648208
65,"(1, 5, 2)",-0.031166349165009377,0.24341474077304803
66,"(1, 5, 3)",-0.049520525329207477,0.24557150795924557
67,"(1, 5, 4)",0.3519956831904859,0.19296185183551853
68,"(1, 5, 5)",-0.03791476380250369,0.24420994941122898
69,"(1, 5, 6)",-0.08002506606767179,0.24911474062103106
70,"(1, 5, 7)",-0.03259264645031723,0.2435830268176599
71,"(1, 5, 8)",-0.15081277030929452,0.2571490031557074
72,"(1, 5, 9)",-0.3346939663655031,0.27693213727548616
73,"(1, 5, 10)",-0.18524352939671007,0.2609674280247981
74,"(1, 5, 11)",-0.37286849743634964,0.28086458331531805
75,"(1, 5, 12)",-0.19839826182342923,0.2624116391549015
76,"(1, 5, 13)",-0.0001614159865239717,0.23972733478409516
77,"(1, 5, 14)",-0.2553177347162323,0.2685711390453529
78,"(1, 5, 15)",-0.09433423106179539,0.2507595610776256
79,"(1, 5, 16)",-0.012596477431499942,0.24121300271682183
80,"(1, 6, 1)",-0.8490026990860444,0.32595022218311526
81,"(1, 6, 2)",-0.11635745184843982,0.25327023113353553
82,"(1, 6, 3)",-0.04476495614860965,0.24501451160342305
83,"(1, 6, 4)",-0.1579294703370535,0.25794289065390985
84,"(1, 6, 5)",-0.18410119425360683,0.2608416377878272
85,"(1, 6, 6)",-0.19445739741089252,0.2619798209971916
86,"(1, 6, 7)",-0.11755526116079351,0.253406069394182
87,"(1, 6, 8)",-0.022069249807140645,0.24233864203512606
88,"(1, 6, 9)",-0.09479785325826673,0.2508126734561195
89,"(1, 6, 10)",-0.2748405897232018,0.2706515073240974
90,"(1, 6, 11)",-0.3931399651433112,0.28293057642378816
91,"(1, 6, 12)",-0.1913313099847327,0.26163677470112967
92,"(1, 6, 13)",-0.16990281823380715,0.2592730654200085
93,"(1, 6, 14)",-0.05905742115999968,0.24668472752432483
94,"(1, 6, 15)",0.39523454065765073,0.186412915241452
95,"(1, 6, 16)",-0.0483507590386274,0.245434616229646
96,"(1, 7, 1)",-0.08129539146715836,0.2492612019361019
97,"(1, 7, 2)",0.32875242903739166,0.19639203596411606
98,"(1, 7, 3)",-0.07302773222670567,0.24830643920631143
99,"(1, 7, 4)",-0.08661147069668385,0.24987318439233683
100,"(1, 7, 5)",-0.07966889875903393,0.2490736610916327
101,"(1, 7, 6)",-0.09611231768748008,0.2509631968780955
102,"(1, 7, 7)",0.4252065921258372,0.18173492588501403
103,"(1, 7, 8)",-0.6091804629886015,0.30407791899205533
104,"(1, 7, 9)",-0.06855851950986214,0.24778879544024823
105,"(1, 7, 10)",-0.14897714764065695,0.2569438364548043
106,"(1, 7, 11)",-0.06387637233492471,0.2472453262312427
107,"(1, 7, 12)",0.3130859738843377,0.1986706446643934
108,"(1, 7, 13)",-0.061985574651802766,0.2470255174256486
