,position,r2,rmse
58,"(1, 4, 11)",-0.24350095285641138,0.26730406915476723
59,"(1, 4, 12)",0.21449538986539318,0.21245006973643538
60,"(1, 4, 13)",-0.03818624613262234,0.2442418857289435
61,"(1, 4, 14)",-0.2096142589033836,0.26363675513846646
62,"(1, 4, 15)",-0.1427220622758001,0.25624347481813786
63,"(1, 4, 16)",0.5597614409444047,0.1590473905010428
64,"(1, 5, 1)",-0.21852463693274937,0.26460598683609843
65,"(1, 5, 2)",-0.07454764686105464,0.24848223663826657
66,"(1, 5, 3)",-0.17255163301177445,0.2595664137321529
67,"(1, 5, 4)",-0.08809515712803218,0.2500437177418283
68,"(1, 5, 5)",0.5420772392780009,0.1622103734039572
69,"(1, 5, 6)",-0.1488834694256358,0.2569333616900764
70,"(1, 5, 7)",-0.05366717623940698,0.24605615568672823
71,"(1, 5, 8)",-0.2493243448245217,0.2679292388371497
72,"(1, 5, 9)",-0.24706421905363363,0.26768677662084667
73,"(1, 5, 10)",-0.038458492335684547,0.2442739077132551
74,"(1, 5, 11)",0.5553807849731952,0.15983674348300458
75,"(1, 5, 12)",-0.10277123332174276,0.2517243471488693
76,"(1, 5, 13)",0.46601995188167056,0.17516406850759825
77,"(1, 5, 14)",-0.15308008827608077,0.2574021944995244
78,"(1, 5, 15)",-0.011213353023174832,0.2410482077545578
79,"(1, 5, 16)",-0.5906962085328022,0.30232644117663626
80,"(1, 6, 1)",-0.12282320970807836,0.25400262185337774
81,"(1, 6, 2)",0.5077282691421048,0.16818410840247838
82,"(1, 6, 3)",-0.33275821028459407,0.2767312419410576
83,"(1, 6, 4)",-0.26298902605870644,0.2693905130394665
84,"(1, 6, 5)",-0.2655401637278456,0.2696624495221423
85,"(1, 6, 6)",0.5567421912968914,0.1595918490045094
86,"(1, 6, 7)",0.49044664243772595,0.17111076882723436
87,"(1, 6, 8)",0.5710125811040891,0.15700185607393502
88,"(1, 6, 9)",-0.008397945927555828,0.2407124122161982
89,"(1, 6, 10)",-0.08644710511399767,0.24985428522464764
90,"(1, 6, 11)",-0.08586699464831149,0.24978757123627296
91,"(1, 6, 12)",-0.3475885697835204,0.2782666554547973
92,"(1, 6, 13)",0.5566405834576688,0.1596101395494681
93,"(1, 6, 14)",-0.3967119876827572,0.2832930624021421
94,"(1, 6, 15)",-0.03203520004008742,0.243517268643242
95,"(1, 6, 16)",-0.5592219165387686,0.29932050837115926
96,"(1, 7, 1)",-0.3430827395671745,0.2778010563223528
97,"(1, 7, 2)",-0.05043460813151346,0.24567842527612532
98,"(1, 7, 3)",-0.09479312827849218,0.2508121322210027
99,"(1, 7, 4)",-0.03940075742101001,0.24438470587582417
100,"(1, 7, 5)",-0.08680527281089678,0.2498954664101838
101,"(1, 7, 6)",0.5414568317564241,0.16232021995569784
102,"(1, 7, 7)",-0.16292846470715827,0.2584990844392808
103,"(1, 7, 8)",0.47449862685738975,0.17376785349867002
104,"(1, 7, 9)",-0.4915283062498548,0.29275091339492293
105,"(1, 7, 10)",-0.09471255557638392,0.25080290263117155
