,position,r2,rmse
63,"(4, 16)",0.5286277634048149,0.16457524433771079
64,"(5, 1)",-0.048115408486398614,0.24540706513845253
65,"(5, 2)",0.4294418832704119,0.18106414276629623
66,"(5, 3)",0.5291219698406056,0.16448894791598379
67,"(5, 4)",0.5457947227625851,0.16155060797124837
68,"(5, 5)",0.5261127018474655,0.16501371544490315
69,"(5, 6)",0.5347827837292102,0.1634972295569765
70,"(5, 7)",0.5262405662919831,0.16499145191241502
71,"(5, 8)",0.5033052467094178,0.16893797925477957
72,"(5, 9)",0.31915633068193283,0.1977908562973523
73,"(5, 10)",0.23246619561159532,0.21000578817935633
74,"(5, 11)",0.4866859302748642,0.17174104177225094
75,"(5, 12)",0.49158241084972354,0.17091996386159722
76,"(5, 13)",0.5078230021978639,0.1681679249004474
77,"(5, 14)",0.5513016012071157,0.16056828497712552
78,"(5, 15)",0.4751003704247351,0.17366833554865177
79,"(5, 16)",0.5447404902233236,0.16173798271694062
80,"(6, 1)",-0.14951411155514505,0.25700386961237087
81,"(6, 2)",-0.320859941866948,0.2754932062932172
82,"(6, 3)",-0.2317629884729182,0.2660394761894682
83,"(6, 4)",-0.011932690682262548,0.241133928649818
84,"(6, 5)",0.571049139988548,0.15699516597679342
85,"(6, 6)",0.5576020377064301,0.15943698304563397
86,"(6, 7)",0.502850616154048,0.16901527703160954
87,"(6, 8)",0.4586763604914227,0.1763644325554726
88,"(6, 9)",0.5149072315601653,0.16695326205930872
89,"(6, 10)",0.35472428117411015,0.19255516415221804
90,"(6, 11)",-0.36398402115458595,0.2799543049564856
91,"(6, 12)",0.5473737188226164,0.16126955679372168
92,"(6, 13)",0.5591184015160796,0.15916350529992548
93,"(6, 14)",0.5274911481722597,0.16477354420311627
94,"(6, 15)",0.48118606690981147,0.17265864339353643
95,"(6, 16)",-0.06334622092313658,0.24718371484674126
96,"(7, 1)",-0.2761009241636949,0.27078526018424104
97,"(7, 2)",0.33996635527921326,0.1947446545719466
98,"(7, 3)",0.5169967797471737,0.16659329650495613
99,"(7, 4)",-0.16588869331597422,0.2588278794010916
100,"(7, 5)",0.5672853371130905,0.1576824338743872
101,"(7, 6)",0.3489643378709537,0.19341266019479492
102,"(7, 7)",0.5537820995581192,0.16012384239536573
