,position,r2,rmse
0,"(1, 1)",-0.15960335992737917,0.2581292629691556
1,"(1, 2)",-0.18436878193812478,0.2608711091148392
2,"(1, 3)",-0.3415468885517572,0.2776421744209521
3,"(1, 4)",-0.20696024230399845,0.26334737340291353
4,"(1, 5)",-0.14997830837462778,0.2570557560294798
5,"(1, 6)",-0.03801983226829164,0.24422230982668944
6,"(1, 7)",-0.36466101458302425,0.28002377194083095
7,"(1, 8)",-0.20730938541335275,0.2633854605200866
8,"(1, 9)",0.4824116740514195,0.17245458489142634
9,"(1, 10)",-0.07614342911951466,0.2486666753825539
10,"(1, 11)",-0.034890958264643945,0.24385395581546926
11,"(1, 12)",-0.16032929044025312,0.25821004688094984
12,"(1, 13)",0.0014826801993055305,0.23953021815049283
13,"(1, 14)",-0.29148438296479084,0.2724125354063429
14,"(1, 15)",-0.3610578238209694,0.2796538463863907
15,"(1, 16)",-0.15448486082867796,0.2575589405394269
16,"(2, 1)",-0.054607625939613325,0.24616593979662738
17,"(2, 2)",-0.24045390202801808,0.26697636990860785
18,"(2, 3)",-0.2633734068210003,0.26943150336134347
19,"(2, 4)",-0.1137828784798014,0.25297801327071684
20,"(2, 5)",-0.3353720412294996,0.27700247432734426
21,"(2, 6)",-0.20225345146315443,0.2628333830634994
22,"(2, 7)",-0.2926999660449727,0.27254070659841934
23,"(2, 8)",-0.0872661797948493,0.2499484503069213
24,"(2, 9)",-0.0532356307782762,0.2460057625008373
25,"(2, 10)",0.3948503407799895,0.18647211872847622
26,"(2, 11)",-0.050542520587479434,0.24569104437739187
27,"(2, 12)",0.395372576999901,0.18639163986515367
28,"(2, 13)",-0.1480278202447478,0.2568376662715229
29,"(2, 14)",-0.013383552901304885,0.2413067300621092
30,"(2, 15)",-0.09988796346117867,0.2513950566175276
31,"(2, 16)",-0.07747699398504193,0.24882070246750868
32,"(3, 1)",-0.1641342712419842,0.25863306479080583
33,"(3, 2)",-0.11322026141655162,0.2529141104543234
34,"(3, 3)",-0.31168152219002776,0.2745343611508427
35,"(3, 4)",-0.22994629851489679,0.2658432170121046
36,"(3, 5)",0.4846146231064302,0.1720871946816622
37,"(3, 6)",-0.16524645635817015,0.2587565811162874
38,"(3, 7)",0.40939431871997567,0.1842176844193331
39,"(3, 8)",-0.09417402250733553,0.2507412050324118
40,"(3, 9)",-0.19668970286769238,0.2622245120176438
41,"(3, 10)",-0.2573301683810574,0.2687863296480898
42,"(3, 11)",-0.08923819184656812,0.2501750176691224
43,"(3, 12)",0.37068062838616334,0.19015951410830573
44,"(3, 13)",0.41373479885480546,0.18353950967328103
45,"(3, 14)",0.3935592459080076,0.18667093311831784
46,"(3, 15)",0.29733757755639845,0.20093513044254338
47,"(3, 16)",0.4826773269593603,0.17241032293691527
48,"(4, 1)",-0.057562481729008574,0.24651055898987728
